cauldron_id,day,total_lost,collected,difference
cauldron_001,2025-11-01 00:00:00+00:00,83.88999999999976,95.8,11.910000000000238
cauldron_001,2025-11-04 00:00:00+00:00,89.24999999999943,78.69,-10.559999999999434
cauldron_001,2025-11-07 00:00:00+00:00,236.55,191.6,-44.95000000000002
cauldron_002,2025-11-02 00:00:00+00:00,88.43999999999983,71.26,-17.179999999999822
cauldron_002,2025-11-04 00:00:00+00:00,171.0800000000001,189.64,18.55999999999989
cauldron_002,2025-11-05 00:00:00+00:00,333.2399999999998,379.28,46.04000000000019
cauldron_002,2025-11-07 00:00:00+00:00,156.38,180.76,24.379999999999995
cauldron_002,2025-11-08 00:00:00+00:00,61.129999999999995,73.5,12.370000000000005
cauldron_002,2025-11-09 00:00:00+00:00,33.81,0.0,-33.81
cauldron_003,2025-10-31 00:00:00+00:00,84.86000000000007,97.05,12.189999999999927
cauldron_003,2025-11-01 00:00:00+00:00,163.71999999999997,194.1,30.380000000000024
cauldron_003,2025-11-05 00:00:00+00:00,86.65999999999946,97.05,10.39000000000054
cauldron_003,2025-11-07 00:00:00+00:00,12.030000000000538,0.0,-12.030000000000538
cauldron_003,2025-11-09 00:00:00+00:00,118.63000000000034,97.05,-21.58000000000034
cauldron_004,2025-10-31 00:00:00+00:00,166.41000000000008,190.2,23.789999999999907
cauldron_004,2025-11-01 00:00:00+00:00,82.73,95.1,12.36999999999999
cauldron_005,2025-10-30 00:00:00+00:00,36.779999999999916,0.0,-36.779999999999916
cauldron_005,2025-10-31 00:00:00+00:00,249.2299999999999,288.78000000000003,39.550000000000125
cauldron_005,2025-11-02 00:00:00+00:00,165.93999999999994,192.52,26.58000000000007
cauldron_005,2025-11-03 00:00:00+00:00,42.69,0.0,-42.69
cauldron_005,2025-11-04 00:00:00+00:00,165.56000000000017,192.52,26.959999999999837
cauldron_005,2025-11-06 00:00:00+00:00,83.6699999999999,96.26,12.590000000000103
cauldron_005,2025-11-07 00:00:00+00:00,83.2299999999999,96.26,13.0300000000001
cauldron_005,2025-11-08 00:00:00+00:00,85.44999999999987,96.26,10.81000000000013
cauldron_007,2025-10-30 00:00:00+00:00,82.09000000000015,97.51,15.41999999999986
cauldron_007,2025-11-01 00:00:00+00:00,85.49000000000007,97.51,12.01999999999994
cauldron_007,2025-11-02 00:00:00+00:00,85.79999999999973,97.51,11.710000000000278
cauldron_007,2025-11-03 00:00:00+00:00,168.68999999999983,195.02,26.330000000000183
cauldron_007,2025-11-04 00:00:00+00:00,85.11999999999978,97.51,12.390000000000228
cauldron_007,2025-11-05 00:00:00+00:00,86.47999999999968,97.51,11.030000000000328
cauldron_007,2025-11-07 00:00:00+00:00,92.44000000000062,75.42,-17.02000000000062
cauldron_007,2025-11-08 00:00:00+00:00,12.320000000000503,0.0,-12.320000000000503
cauldron_007,2025-11-09 00:00:00+00:00,96.98999999999967,74.06,-22.929999999999666
cauldron_008,2025-10-30 00:00:00+00:00,162.16000000000003,190.7,28.539999999999964
cauldron_008,2025-10-31 00:00:00+00:00,126.63000000000001,157.62,30.989999999999995
cauldron_008,2025-11-01 00:00:00+00:00,93.97,112.29999999999998,18.329999999999984
cauldron_008,2025-11-02 00:00:00+00:00,110.02,136.83,26.810000000000016
cauldron_008,2025-11-05 00:00:00+00:00,80.92000000000002,95.35,14.429999999999978
cauldron_008,2025-11-08 00:00:00+00:00,178.99,201.51,22.519999999999982
cauldron_009,2025-11-01 00:00:00+00:00,161.41999999999996,220.69,59.27000000000004
cauldron_009,2025-11-03 00:00:00+00:00,145.65999999999985,175.03,29.370000000000147
cauldron_009,2025-11-04 00:00:00+00:00,215.67999999999995,299.61,83.93000000000006
cauldron_009,2025-11-05 00:00:00+00:00,14.140000000000212,0.0,-14.140000000000212
cauldron_009,2025-11-06 00:00:00+00:00,217.9499999999997,299.61,81.66000000000031
cauldron_009,2025-11-07 00:00:00+00:00,153.67999999999938,199.74,46.06000000000063
cauldron_009,2025-11-08 00:00:00+00:00,11.599999999999907,0.0,-11.599999999999907
cauldron_009,2025-11-09 00:00:00+00:00,153.7200000000007,199.74,46.0199999999993
cauldron_010,2025-10-30 00:00:00+00:00,165.37,191.7,26.329999999999984
cauldron_010,2025-11-01 00:00:00+00:00,72.65000000000015,85.67,13.019999999999854
cauldron_010,2025-11-09 00:00:00+00:00,332.33000000000004,383.4,51.069999999999936
cauldron_011,2025-10-30 00:00:00+00:00,242.58999999999997,289.89,47.30000000000001
cauldron_011,2025-10-31 00:00:00+00:00,80.88999999999999,96.63,15.740000000000009
cauldron_011,2025-11-02 00:00:00+00:00,243.25,266.46999999999997,23.21999999999997
cauldron_011,2025-11-03 00:00:00+00:00,242.5,279.32,36.81999999999999
cauldron_011,2025-11-05 00:00:00+00:00,142.05,173.13,31.079999999999984
cauldron_011,2025-11-06 00:00:00+00:00,80.79999999999998,96.63,15.830000000000013
cauldron_011,2025-11-07 00:00:00+00:00,161.56,193.26,31.69999999999999
cauldron_011,2025-11-09 00:00:00+00:00,119.89999999999989,181.7,61.8000000000001
cauldron_012,2025-10-30 00:00:00+00:00,82.71000000000001,94.37,11.659999999999997
cauldron_012,2025-11-01 00:00:00+00:00,137.88,160.11,22.230000000000018
cauldron_012,2025-11-02 00:00:00+00:00,82.72999999999999,94.37,11.640000000000015
cauldron_012,2025-11-04 00:00:00+00:00,70.59,82.78,12.189999999999998
cauldron_012,2025-11-08 00:00:00+00:00,169.5900000000002,153.99,-15.600000000000193
