cauldron_id,start_time,end_time,volume_lost,significant
cauldron_001,2025-10-30 00:22:00+00:00,2025-10-30 00:22:00+00:00,0.0,False
cauldron_001,2025-10-30 04:34:00+00:00,2025-10-30 04:34:00+00:00,0.0,False
cauldron_001,2025-10-30 05:56:00+00:00,2025-10-30 05:56:00+00:00,0.0,False
cauldron_001,2025-10-30 07:36:00+00:00,2025-10-30 07:36:00+00:00,0.0,False
cauldron_001,2025-10-30 07:54:00+00:00,2025-10-30 07:54:00+00:00,0.0,False
cauldron_001,2025-10-30 08:34:00+00:00,2025-10-30 08:34:00+00:00,0.0,False
cauldron_001,2025-10-30 09:36:00+00:00,2025-10-30 09:37:00+00:00,0.03000000000002956,False
cauldron_001,2025-10-30 10:13:00+00:00,2025-10-30 10:13:00+00:00,0.0,False
cauldron_001,2025-10-30 10:27:00+00:00,2025-10-30 10:27:00+00:00,0.0,False
cauldron_001,2025-10-30 10:39:00+00:00,2025-10-30 10:39:00+00:00,0.0,False
cauldron_001,2025-10-30 11:31:00+00:00,2025-10-30 11:31:00+00:00,0.0,False
cauldron_001,2025-10-30 12:31:00+00:00,2025-10-30 12:32:00+00:00,0.01999999999998181,False
cauldron_001,2025-10-30 13:34:00+00:00,2025-10-30 13:35:00+00:00,0.009999999999990905,False
cauldron_001,2025-10-30 13:41:00+00:00,2025-10-30 13:41:00+00:00,0.0,False
cauldron_001,2025-10-30 13:47:00+00:00,2025-10-30 13:47:00+00:00,0.0,False
cauldron_001,2025-10-30 14:29:00+00:00,2025-10-30 14:29:00+00:00,0.0,False
cauldron_001,2025-10-30 15:25:00+00:00,2025-10-30 15:25:00+00:00,0.0,False
cauldron_001,2025-10-30 15:57:00+00:00,2025-10-30 15:58:00+00:00,0.06999999999999318,False
cauldron_001,2025-10-30 16:05:00+00:00,2025-10-30 16:05:00+00:00,0.0,False
cauldron_001,2025-10-30 16:07:00+00:00,2025-10-30 16:07:00+00:00,0.0,False
cauldron_001,2025-10-30 16:14:00+00:00,2025-10-30 16:15:00+00:00,0.08000000000004093,False
cauldron_001,2025-10-30 16:23:00+00:00,2025-10-30 16:23:00+00:00,0.0,False
cauldron_001,2025-10-30 17:36:00+00:00,2025-10-30 17:36:00+00:00,0.0,False
cauldron_001,2025-10-30 18:27:00+00:00,2025-10-30 18:28:00+00:00,0.09000000000003183,False
cauldron_001,2025-10-30 18:47:00+00:00,2025-10-30 18:47:00+00:00,0.0,False
cauldron_001,2025-10-30 20:04:00+00:00,2025-10-30 20:04:00+00:00,0.0,False
cauldron_001,2025-10-30 20:06:00+00:00,2025-10-30 20:08:00+00:00,0.010000000000047748,False
cauldron_001,2025-10-30 20:55:00+00:00,2025-10-30 20:55:00+00:00,0.0,False
cauldron_001,2025-10-30 21:13:00+00:00,2025-10-30 21:13:00+00:00,0.0,False
